candidate_id,source,task,equation,scaling,law_auc,baseline_auc,baseline_feature,delta_baseline,pass_reduced_gate
flagship_pysr::006,flagship_pysr,flagship,exp(exp(((ALB + PTGER3) - NDUFA4L2) - VEGFA) * -0.010614875),rank,0.9897967101179391,0.9654976205255534,CA9,0.024299089592385692,False
flagship_pysr::006,flagship_pysr,flagship,exp(exp(((ALB + PTGER3) - NDUFA4L2) - VEGFA) * -0.010614875),minmax,0.9935340368301262,0.9654976205255534,CA9,0.028036416304572764,False
flagship_pysr::009,flagship_pysr,flagship,exp(exp((PTGER3 - NDUFA4L2) - VEGFA) * -0.010614875),raw,0.991956341816677,0.9654976205255534,CA9,0.026458721291123588,False
flagship_pysr::009,flagship_pysr,flagship,exp(exp((PTGER3 - NDUFA4L2) - VEGFA) * -0.010614875),zscore,0.9905855576246638,0.9654976205255534,CA9,0.02508793709911039,False
flagship_pysr::009,flagship_pysr,flagship,exp(exp((PTGER3 - NDUFA4L2) - VEGFA) * -0.010614875),rank,0.9900165528657148,0.9654976205255534,CA9,0.024518932340161337,False
flagship_pysr::009,flagship_pysr,flagship,exp(exp((PTGER3 - NDUFA4L2) - VEGFA) * -0.010614875),minmax,0.991387337057728,0.9654976205255534,CA9,0.025889716532174534,False
flagship_pysr::017,flagship_pysr,flagship,exp(-0.013298511 * exp((PTGER3 - VEGFA) - NDUFA4L2)),raw,0.991956341816677,0.9654976205255534,CA9,0.026458721291123588,False
flagship_pysr::017,flagship_pysr,flagship,exp(-0.013298511 * exp((PTGER3 - VEGFA) - NDUFA4L2)),zscore,0.9905855576246638,0.9654976205255534,CA9,0.02508793709911039,False
flagship_pysr::017,flagship_pysr,flagship,exp(-0.013298511 * exp((PTGER3 - VEGFA) - NDUFA4L2)),rank,0.9900165528657148,0.9654976205255534,CA9,0.024518932340161337,False
flagship_pysr::017,flagship_pysr,flagship,exp(-0.013298511 * exp((PTGER3 - VEGFA) - NDUFA4L2)),minmax,0.991387337057728,0.9654976205255534,CA9,0.025889716532174534,False
flagship_pysr::005,flagship_pysr,flagship,exp(exp((PTGER3 + ALB) / exp(VEGFA)) * -0.010614875),raw,0.9872232567763294,0.9654976205255534,CA9,0.021725636250775948,False
flagship_pysr::005,flagship_pysr,flagship,exp(exp((PTGER3 + ALB) / exp(VEGFA)) * -0.010614875),zscore,0.9694547899855163,0.9654976205255534,CA9,0.003957169459962828,False
flagship_pysr::005,flagship_pysr,flagship,exp(exp((PTGER3 + ALB) / exp(VEGFA)) * -0.010614875),rank,0.9848696461824954,0.9654976205255534,CA9,0.01937202565694196,False
flagship_pysr::005,flagship_pysr,flagship,exp(exp((PTGER3 + ALB) / exp(VEGFA)) * -0.010614875),minmax,0.9933271260086902,0.9654976205255534,CA9,0.027829505483136785,False
flagship_pysr::003,flagship_pysr,flagship,exp(-0.054394767 * exp(PTGER3 - NDUFA4L2)),raw,0.9867318435754191,0.9654976205255534,CA9,0.021234223049865664,False
flagship_pysr::003,flagship_pysr,flagship,exp(-0.054394767 * exp(PTGER3 - NDUFA4L2)),zscore,0.9860852472584317,0.9654976205255534,CA9,0.020587626732878284,False
flagship_pysr::003,flagship_pysr,flagship,exp(-0.054394767 * exp(PTGER3 - NDUFA4L2)),rank,0.9817918477136354,0.9654976205255534,CA9,0.016294227188081933,False
flagship_pysr::003,flagship_pysr,flagship,exp(-0.054394767 * exp(PTGER3 - NDUFA4L2)),minmax,0.9860852472584316,0.9654976205255534,CA9,0.020587626732878173,False
flagship_pysr::012,flagship_pysr,flagship,exp(exp(PTGER3 - NDUFA4L2) * -0.054373782),raw,0.9867318435754191,0.9654976205255534,CA9,0.021234223049865664,False
flagship_pysr::012,flagship_pysr,flagship,exp(exp(PTGER3 - NDUFA4L2) * -0.054373782),zscore,0.9860852472584317,0.9654976205255534,CA9,0.020587626732878284,False
flagship_pysr::012,flagship_pysr,flagship,exp(exp(PTGER3 - NDUFA4L2) * -0.054373782),rank,0.9818306434926546,0.9654976205255534,CA9,0.016333022967101152,False
flagship_pysr::012,flagship_pysr,flagship,exp(exp(PTGER3 - NDUFA4L2) * -0.054373782),minmax,0.9860852472584316,0.9654976205255534,CA9,0.020587626732878173,False
flagship_pysr::019,flagship_pysr,flagship,exp(-0.06354956 / exp(NDUFA4L2 - PTGER3)),raw,0.9867318435754191,0.9654976205255534,CA9,0.021234223049865664,False
flagship_pysr::019,flagship_pysr,flagship,exp(-0.06354956 / exp(NDUFA4L2 - PTGER3)),zscore,0.9860852472584317,0.9654976205255534,CA9,0.020587626732878284,False
flagship_pysr::019,flagship_pysr,flagship,exp(-0.06354956 / exp(NDUFA4L2 - PTGER3)),rank,0.9818047796399751,0.9654976205255534,CA9,0.01630715911442171,False
flagship_pysr::019,flagship_pysr,flagship,exp(-0.06354956 / exp(NDUFA4L2 - PTGER3)),minmax,0.9860852472584316,0.9654976205255534,CA9,0.020587626732878173,False
flagship_pysr::002,flagship_pysr,flagship,exp(exp((SLC2A1 + ((PTGER3 - NDUFA4L2) + ALB)) / exp(VEGFA)) * -0.0023506025),raw,0.9863956134905856,0.9654976205255534,CA9,0.02089799296503214,False
flagship_pysr::002,flagship_pysr,flagship,exp(exp((SLC2A1 + ((PTGER3 - NDUFA4L2) + ALB)) / exp(VEGFA)) * -0.0023506025),zscore,0.99231843575419,0.9654976205255534,CA9,0.026820815228636552,False
