gene_a,gene_b,auroc
ALB,ENO1,0.532982706364771
ALB,SLC22A8,0.5328341356153801
PKM,SLC2A1,0.5326855648659893
COL4A2,VEGFA,0.5324181375170856
BHLHE40,CUBN,0.5323884233672074
PAX8,SLC12A1,0.532299280917573
ALDOA,PAX2,0.5322101384679385
PDK1,PTGER3,0.5320615677185476
CXCR4,LDHB,0.5319724252689131
CXCR4,PAX8,0.5315564271706187
DDIT4,ENO1,0.531467284720984
PAX2,PGK1,0.5311107149224461
MMP9,RPL13A,0.5309918583229334
COL4A2,MCM2,0.5309621441730552
CALB1,PKM,0.5308432875735425
CUBN,VEGFA,0.5308135734236643
CA12,GAPDH,0.5308135734236643
PTGER3,SLC12A3,0.530754145123908
ANGPTL4,COL4A2,0.530754145123908
ENO1,MCM2,0.5307244309740298
CA12,ENO1,0.5306352885243952
BHLHE40,COL4A2,0.530575860224639
NDUFA4L2,RPL13A,0.5303678611754918
COL4A2,SLC22A8,0.5303381470256137
NDUFA4L2,PCNA,0.5302787187258573
ACTB,ENO2,0.5302192904261009
CA9,COL4A2,0.5301004338265882
ANGPTL4,CA9,0.5300112913769537
AGXT,COL4A2,0.5298627206275628
PKM,SLC12A1,0.5298330064776846
LDHA,SLC12A1,0.5296547215784156
MCM2,PKM,0.529535864978903
ANGPTL4,PTGER3,0.5293872942295121
ALDOA,PGK1,0.5293278659297558
ANGPTL4,S100A4,0.5290604385808522
PGK1,PTGER3,0.5290010102810959
CUBN,PDK1,0.5289415819813394
DDIT4,ENO2,0.5287335829321923
ALDOA,SLC2A1,0.5287335829321922
CA9,ENO1,0.5286741546324358
AGXT,SPP1,0.5285850121828015
MCM2,NDUFA4L2,0.5285552980329233
PAX2,PFKP,0.5285552980329233
KRT7,LRP2,0.5285255838830452
EPAS1,PAX2,0.5283175848338979
HK2,PAX8,0.5282284423842634
CUBN,EPAS1,0.5281987282343853
CA9,DDIT4,0.5281987282343852
AGXT,ENO1,0.5281987282343852
CA12,PKM,0.5280204433351162
HK2,S100A4,0.5277827301360909
CA12,PAX8,0.5276935876864562
BHLHE40,SLC22A8,0.5275153027871873
ANGPTL4,RPL13A,0.5271884471385273
SLC12A1,SLC2A1,0.5271587329886492
CALB1,SLC12A1,0.5271290188387711
COL4A2,SPP1,0.5270695905390147
BHLHE40,LRP2,0.5269210197896238
GAPDH,LDHA,0.5268615914898676
CCNB1,CDK1,0.5268318773399893
GAPDH,SLC2A1,0.5268318773399893
BHLHE40,VEGFA,0.5267130207404767
ACTB,CXCR4,0.5264753075414513
CA9,S100A4,0.5263564509419385
SLC2A1,SPP1,0.5261781660426694
PFKP,PTGER3,0.5258513103940097
CA12,S100A4,0.5258215962441315
CXCR4,LDHA,0.5257621679443751
PKM,S100A4,0.5255541688952279
LRP2,SLC22A8,0.5251381707969336
AGXT,SLC12A1,0.5249301717477863
ALDOA,SPP1,0.5247221726986391
PFKP,VEGFA,0.5244250311998574
ENO2,MCM2,0.5243061746003447
DDIT4,PKM,0.5240981755511975
KRT7,PAX2,0.5240981755511974
ALDOA,PKM,0.5239198906519285
RPL13A,SLC12A3,0.5238307482022939
LRP2,PDK1,0.5237713199025377
S100A4,SLC2A1,0.5236227491531468
ALDOA,CA9,0.5236227491531468
ALDOA,VEGFA,0.5234444642538777
CA9,SPP1,0.5234147501039995
COL4A2,PAX8,0.5233850359541213
AGXT,CALB1,0.5232958935044869
PAX2,SLC22A8,0.5232067510548524
ALDOA,KRT7,0.523147322755096
DDIT4,S100A4,0.523147322755096
COL4A2,PDK1,0.5229690378558269
DDIT4,GAPDH,0.5228501812563142
DDIT4,PTGER3,0.522820467106436
NDUFA4L2,PAX8,0.522642182207167
CA12,CALB1,0.5225827539074107
PAX8,PKM,0.5224936114577763
PTGER3,VEGFA,0.5224044690081417
GAPDH,NDUFA4L2,0.522285612408629
BHLHE40,CA12,0.5219884709098472
BHLHE40,PDK1,0.5219587567599692
ACTB,RPL13A,0.5217804718607
CA9,LDHA,0.5217507577108219
CALB1,SLC2A1,0.5217507577108218
CALB1,DDIT4,0.521572472811553
LRP2,VEGFA,0.5213644737624057
DDIT4,SLC12A1,0.5211564747132584
GAPDH,HK2,0.5210970464135021
CALB1,PTGER3,0.5210376181137457
AGXT,CA12,0.5208890473643549
ENO2,PCNA,0.5206810483152077
GAPDH,RPL13A,0.5206513341653295
MCM2,SPP1,0.5204433351161823
ANGPTL4,PKM,0.5204136209663042
AGXT,ALB,0.520383906816426
CA9,SLC2A1,0.520383906816426
CA12,ENO2,0.5202947643667915
BHLHE40,SPP1,0.5202650502169134
CUBN,LRP2,0.520027337017888
BHLHE40,SLC12A1,0.5199976228680097
CXCR4,ENO2,0.5199679087181316
PAX8,S100A4,0.519878766268497
COL4A2,SLC2A1,0.5198490521186189
CA12,SLC12A3,0.5198193379687407
ALDOA,CA12,0.5198193379687407
ALB,VEGFA,0.5198193379687407
CUBN,SLC22A8,0.5196707672193499
CA12,NDUFA4L2,0.5196113389195935
AGXT,PFKP,0.5195816247697154
PTGER3,SLC12A1,0.5194330540203245
LRP2,PGK1,0.5193736257205682
S100A4,SLC12A3,0.519165626671421
CXCR4,S100A4,0.5190764842217865
ENO2,HK2,0.518660486123492
PAX2,PDK1,0.518660486123492
CDK1,MKI67,0.5186010578237357
ENO2,RPL13A,0.5185416295239793
CA12,COL4A2,0.518482201224223
CXCR4,SLC12A3,0.5183633446247102
PTGER3,SLC22A8,0.5183336304748322
ANGPTL4,CA12,0.5182742021750757
CA9,CALB1,0.5181850597254412
ANGPTL4,MCM2,0.5180662031259285
ALB,PGK1,0.5179473465264159
PAX8,RPL13A,0.5179473465264158
AGXT,KRT7,0.5176799191775123
PGK1,SLC12A1,0.5173530635288524
BHLHE40,KRT7,0.5172936352290962
BHLHE40,PGK1,0.5170262078801926
CA9,PTGER3,0.5169667795804362
LRP2,PFKP,0.5168479229809235
CA9,HK2,0.5167884946811672
PGK1,SLC22A8,0.516758780531289
ALB,PDK1,0.5166696380816544
ALDOA,CALB1,0.5163427824329946
GAPDH,SLC12A3,0.51625363998336
BHLHE40,ENO1,0.5161644975337256
PTGER3,SPP1,0.5160456409342129
MMP9,PCNA,0.5159564984845784
NDUFA4L2,SLC2A1,0.5159267843347002
ALB,ALDOA,0.515897070184822
CUBN,PGK1,0.5158673560349438
HK2,SLC2A1,0.515718785285553
CA12,SLC2A1,0.5156890711356747
DDIT4,HK2,0.5155999286860403
SLC12A3,SLC2A1,0.5155702145361621
ANGPTL4,ENO2,0.5155405003862839
PCNA,RPL13A,0.5153919296368931
AGXT,VEGFA,0.5152433588875023
ANGPTL4,GAPDH,0.5152433588875022
AGXT,PTGER3,0.5152136447376241
GAPDH,MCM2,0.5152136447376241
CA12,LDHA,0.5152136447376241
ENO1,SLC2A1,0.514857074939086
KRT7,PTGER3,0.5148273607892079
CA12,SPP1,0.5147976466393296
BHLHE40,CALB1,0.514678790039817
ENO2,SLC2A1,0.5145302192904261
PKM,PTGER3,0.5144113626909135
CA12,DDIT4,0.5142925060914008
CCNB1,TOP2A,0.5142330777916444
COL4A2,PKM,0.5142033636417662
ALDOA,COL4A2,0.5142033636417662
DDIT4,SPP1,0.5141142211921317
PDK1,VEGFA,0.5139656504427408
KRT7,PGK1,0.5137873655434718
HK2,SLC12A3,0.5136090806442026
DDIT4,MCM2,0.5131039400962739
MCM2,S100A4,0.5130742259463956
LDHA,PTGER3,0.5129553693468829
CALB1,PGK1,0.5128959410471267
ENO1,SLC12A3,0.5128959410471267
CXCR4,PCNA,0.512628513698223
CA9,MCM2,0.5123908004991977
ENO1,PKM,0.512271943899685
PAX2,VEGFA,0.5121828014500505
ANGPTL4,SLC12A1,0.5120639448505379
BHLHE40,PFKP,0.5118856599512688
GAPDH,S100A4,0.5118559458013907
ANGPTL4,CALB1,0.5117668033517561
KRT7,SLC22A8,0.5117370892018779
PTGER3,SLC2A1,0.5116776609021216
CALB1,SPP1,0.5115588043026089
DDIT4,SLC12A3,0.5114993760028526
NDUFA4L2,S100A4,0.5113210911035835
AGXT,ALDOA,0.5110536637546801
ALDOA,BHLHE40,0.51105366375468
CA12,SLC12A1,0.5109348071551674
DDIT4,LDHA,0.5109050930052892
PKM,SLC12A3,0.510875378855411
CA12,CA9,0.510875378855411
PGK1,VEGFA,0.5108159505556545
LDHA,S100A4,0.5106079515065074
PAX8,SLC2A1,0.5106079515065074
CA9,PKM,0.5105782373566292
ENO2,NDUFA4L2,0.5103108100077257
AGXT,PDK1,0.5103108100077256
LRP2,PAX2,0.5102810958578474
HK2,LDHA,0.5097165270101622
ANGPTL4,SLC2A1,0.5095679562607713
LDHB,PCNA,0.5093599572116241
CCNB1,MKI67,0.5088548166636953
ALDOA,SLC12A1,0.5088251025138171
KRT7,VEGFA,0.5087656742140607
COL4A2,PTGER3,0.5087359600641825
ACTB,LDHB,0.508646817614548
KRT7,PDK1,0.5084982468651572
CA12,HK2,0.508468532715279
SLC12A1,SPP1,0.5083793902656445
ANGPTL4,DDIT4,0.5082011053663754
ENO2,PAX8,0.5082011053663754
DDIT4,PAX8,0.5082011053663754
CUBN,PAX2,0.5081713912164972
PDK1,SLC22A8,0.5080525346169846
ENO1,PTGER3,0.5076068223688119
ANGPTL4,SLC12A3,0.5075176799191775
ENO2,GAPDH,0.5075176799191774
RPL13A,S100A4,0.5074879657692993
HK2,NDUFA4L2,0.5072799667201522
ALB,PTGER3,0.507250252570274
ACTB,MMP9,0.5065073988233197
LDHA,SLC2A1,0.5064479705235634
CDK1,TOP2A,0.506210257324538
CA9,PAX8,0.5061805431746598
ALB,BHLHE40,0.5060319724252689
DDIT4,SLC2A1,0.5058536875259998
PKM,SPP1,0.5055862601770963
CA12,MCM2,0.5054376894277055
ANGPTL4,NDUFA4L2,0.5053188328281928
ENO2,S100A4,0.5051405479289237
SLC22A8,VEGFA,0.5045759790812385
PDK1,PGK1,0.5045462649313603
ALB,KRT7,0.5044571224817258
NDUFA4L2,SLC12A3,0.5044571224817258
AGXT,BHLHE40,0.5044274083318476
PDK1,PFKP,0.5043679800320913
MCM2,SLC2A1,0.504159980982944
BHLHE40,PTGER3,0.5040114102335532
MCM2,SLC12A3,0.5037142687347715
COL4A2,ENO1,0.5035656979853806
CXCR4,GAPDH,0.5035359838355025
PFKP,PGK1,0.5034171272359899
LDHA,NDUFA4L2,0.5034171272359897
ANGPTL4,PAX8,0.5031794140369643
CXCR4,RPL13A,0.5029119866880609
CA12,PTGER3,0.5026742734890355
ACTB,PCNA,0.5025257027396446
GAPDH,PAX8,0.5024959885897664
KRT7,PFKP,0.5024662744398883
ENO1,SPP1,0.5019314197420812
ALDOA,PTGER3,0.5018719914423249
LDHA,SLC12A3,0.5018422772924466
LDHA,PAX8,0.5017828489926903
ALB,PFKP,0.5017531348428121
ENO1,SLC12A1,0.5015154216437867
ENO2,SLC12A3,0.5014262791941523
CA9,SLC12A1,0.5013965650442741
LDHA,MCM2,0.5013965650442741
COL4A2,SLC12A1,0.5013371367445177
ALDOA,ENO1,0.5013074225946396
PFKP,SLC22A8,0.501218280145005
CALB1,COL4A2,0.5011885659951268
ANGPTL4,HK2,0.5011588518452487
HK2,MCM2,0.5010399952457361
AGXT,PGK1,0.5009508527961014
DDIT4,NDUFA4L2,0.5008319961965888
ANGPTL4,LDHA,0.5007131395970761
MCM2,PAX8,0.5006239971474415
LDHB,MMP9,0.5004754263980508
PAX8,SLC12A3,0.5003862839484162
CALB1,ENO1,0.5001188565995127
