gene_a,gene_b,auroc
MMP9,PFKP,0.6153503298270636
CDK1,PTGER3,0.6149640458786474
ACTB,PAX2,0.6148154751292565
EPAS1,PTGER3,0.6143400487312058
ANGPTL4,LRP2,0.6139834789326678
CDK1,S100A4,0.6138051940333986
PCNA,PKM,0.6137754798835203
COL4A2,MMP9,0.6128840553871754
CUBN,NDUFA4L2,0.6126463421881501
CDK1,ENO2,0.612497771438759
CA9,CCNB1,0.6123194865394901
MKI67,PTGER3,0.6120223450407083
PCNA,PDK1,0.6116954893920485
MMP9,PGK1,0.6114874903429013
PAX2,S100A4,0.6113092054436322
MKI67,SLC2A1,0.6110714922446068
CXCR4,PAX2,0.6109526356450943
PAX2,PCNA,0.6106852082961907
ENO2,PDK1,0.6106257799964343
ALB,LDHB,0.6103583526475307
PAX8,TOP2A,0.6103583526475307
ENO2,LRP2,0.6103583526475307
HK2,PDK1,0.6099720686991145
ACTB,VEGFA,0.6096749272003329
ACTB,ALB,0.6095857847506982
ENO2,TOP2A,0.6092292149521603
LDHB,PDK1,0.609169786652404
LRP2,RPL13A,0.6087240744042313
LRP2,PAX8,0.6083675046056932
MMP9,PDK1,0.6082783621560587
ACTB,CUBN,0.6080406489570334
MKI67,PCNA,0.6079217923575206
CALB1,EPAS1,0.607624650858739
ANGPTL4,CDK1,0.6075057942592262
ACTB,BHLHE40,0.6073869376597136
CDK1,SLC12A3,0.6073275093599573
KRT7,MMP9,0.6070303678611755
CA9,CUBN,0.6070006537112973
HK2,PFKP,0.6069709395614192
LDHA,MKI67,0.6068817971117847
CCNB1,DDIT4,0.60679265466215
ACTB,LRP2,0.6066143697628811
CUBN,ENO2,0.6061389433648303
CUBN,MMP9,0.6060498009151959
MKI67,PAX8,0.6057526594164141
BHLHE40,PCNA,0.6055743745171451
MCM2,PGK1,0.605217804718607
EPAS1,SLC12A1,0.605039519819338
PAX2,PAX8,0.6050395198193379
ALB,PCNA,0.6048018066203127
MMP9,PAX2,0.6047720924704344
CUBN,S100A4,0.6046829500208
CXCR4,PFKP,0.6043858085220183
GAPDH,PFKP,0.6042372377726273
MKI67,SLC12A3,0.6042075236227492
ACTB,PDK1,0.6037320972246984
LRP2,MMP9,0.6035538123254294
ACTB,COL4A2,0.6034349557259167
CCNB1,PTGER3,0.6033160991264039
EPAS1,SPP1,0.6032863849765259
CXCR4,PDK1,0.6029298151779877
ACTB,AGXT,0.6028703868782315
ALDOA,RPL13A,0.6027812444285969
LRP2,NDUFA4L2,0.6025138170796933
LRP2,S100A4,0.6025138170796933
S100A4,TOP2A,0.6024841029298151
EPAS1,PAX8,0.6024246746300589
NDUFA4L2,SLC22A8,0.6023949604801806
AGXT,LDHB,0.6021275331312771
SLC12A3,TOP2A,0.6020383906816427
HK2,LRP2,0.6019195340821298
GAPDH,MKI67,0.6015332501337136
EPAS1,VEGFA,0.6012955369346883
PAX2,RPL13A,0.6012658227848101
CA9,LRP2,0.6011172520354192
GAPDH,SLC22A8,0.6008795388363939
PGK1,RPL13A,0.600730968087003
ALDOA,LDHB,0.6005823973376122
CALB1,LDHB,0.6002852558388304
LDHB,PGK1,0.6001366850894396
CUBN,GAPDH,0.6000178284899269
CCNB1,SLC12A3,0.5993046888928507
CUBN,PAX8,0.5991858322933381
CCNB1,ENO2,0.5989481190943127
ANGPTL4,TOP2A,0.5988292624948001
DDIT4,MKI67,0.5987698341950436
CCNB1,PCNA,0.5984132643965056
PDK1,RPL13A,0.5982944077969929
CA12,EPAS1,0.5982349794972366
LDHB,VEGFA,0.597789267249064
CALB1,PCNA,0.597610982349795
NDUFA4L2,TOP2A,0.597462411600404
RPL13A,SLC22A8,0.5970166993522315
ALB,CXCR4,0.596927556902597
EPAS1,PFKP,0.5968681286028407
PCNA,SLC12A1,0.5968087003030844
ACTB,ALDOA,0.5965115588043027
ENO2,MKI67,0.5964224163546681
ANGPTL4,PAX2,0.5964224163546681
NDUFA4L2,PFKP,0.5963629880549117
ENO2,VEGFA,0.5957984192072264
LDHA,PDK1,0.5956201343079575
ENO1,LDHB,0.5955904201580793
KRT7,S100A4,0.5955012777084447
ACTB,CALB1,0.5950555654602722
ALB,GAPDH,0.5949961371605158
AGXT,PCNA,0.5946395673619778
CUBN,HK2,0.5946395673619778
ALDOA,PCNA,0.5944612824627087
CDK1,RPL13A,0.5944315683128305
CUBN,LDHA,0.5936887145658762
KRT7,RPL13A,0.5935995721162417
ENO2,PGK1,0.593480715516729
ACTB,CDK1,0.5933321447673382
BHLHE40,EPAS1,0.59330243061746
ALB,RPL13A,0.5930647174184347
MKI67,S100A4,0.5929458608189219
MKI67,NDUFA4L2,0.5926784334700185
PFKP,SLC2A1,0.5923812919712367
AGXT,MMP9,0.5921138646223332
PCNA,VEGFA,0.592084150472455
ENO2,PAX2,0.591727580673917
CALB1,MMP9,0.5912818684257444
CXCR4,SLC22A8,0.5906578712783027
GAPDH,LRP2,0.5903013014797647
CA9,PFKP,0.5897664467819576
SLC2A1,VEGFA,0.5897367326320795
ACTB,SLC12A1,0.589647590182445
ANGPTL4,VEGFA,0.589499019433054
CCNB1,S100A4,0.5894395911332977
CUBN,DDIT4,0.5894098769834195
HK2,PGK1,0.5893504486836632
CCNB1,NDUFA4L2,0.5892018779342723
ALB,ENO2,0.5892018779342723
KRT7,SLC12A3,0.5889938788851251
BHLHE40,LDHB,0.588964164735247
ALB,S100A4,0.5886373090865871
ENO2,SLC22A8,0.5883104534379271
NDUFA4L2,PAX2,0.5883104534379271
CA12,MMP9,0.5882510251381707
LDHB,PKM,0.5882213109882926
BHLHE40,MMP9,0.58810245438878
NDUFA4L2,PDK1,0.5880727402389018
ENO1,PCNA,0.5878053128899983
CXCR4,PGK1,0.5877458845902419
RPL13A,VEGFA,0.5877161704403637
S100A4,SLC22A8,0.5874487430914601
LDHA,PFKP,0.5874190289415819
ANGPTL4,MKI67,0.5874190289415819
CDK1,CXCR4,0.5873298864919474
CCNB1,PAX8,0.5872110298924348
CALB1,CUBN,0.5870327449931658
LRP2,MCM2,0.5869436025435312
COL4A2,PCNA,0.5866761751946277
LDHA,PAX2,0.586557318595115
ACTB,PKM,0.5864681761454805
RPL13A,TOP2A,0.5864384619956023
SLC12A3,SLC22A8,0.5862304629464552
CXCR4,TOP2A,0.586200748796577
DDIT4,PFKP,0.5860224638973079
CUBN,MCM2,0.5860224638973078
ANGPTL4,CCNB1,0.5853687525999881
COL4A2,LDHB,0.5852201818505973
PAX8,SLC22A8,0.5851013252510845
DDIT4,VEGFA,0.5850716111012064
CXCR4,KRT7,0.5848933262019373
GAPDH,PDK1,0.5847150413026684
COL4A2,CXCR4,0.5846853271527901
MCM2,PFKP,0.584655613002912
BHLHE40,RPL13A,0.584477328103643
ALB,NDUFA4L2,0.5844476139537648
EPAS1,PGK1,0.5843287573542522
ALDOA,MMP9,0.5836453319070541
GAPDH,KRT7,0.583615617757176
GAPDH,PAX2,0.5832887621085161
AGXT,GAPDH,0.5824270517620491
LDHA,LRP2,0.5821001961133891
CCNB1,RPL13A,0.5819516253639984
PGK1,SLC2A1,0.5818030546146075
ACTB,TOP2A,0.5816544838652167
ACTB,MKI67,0.5811493433172876
PDK1,SLC2A1,0.5810304867177749
ALDOA,EPAS1,0.5808224876686279
ANGPTL4,PFKP,0.5807927735187496
CALB1,LRP2,0.5807927735187496
NDUFA4L2,VEGFA,0.5804956320199679
CA9,SLC22A8,0.5803173471206988
CUBN,SLC2A1,0.5801687763713079
CA9,PAX2,0.5801390622214299
ACTB,ENO1,0.5799607773221609
HK2,VEGFA,0.5799607773221608
NDUFA4L2,PGK1,0.5796339216735009
AGXT,RPL13A,0.5795150650739882
CUBN,PKM,0.5794556367742318
ANGPTL4,PDK1,0.5794259226243538
MMP9,SLC12A1,0.5794259226243538
HK2,PAX2,0.5792179235752065
LDHB,SPP1,0.5791584952754502
PAX2,PKM,0.5790099245260594
ENO2,KRT7,0.5788316396267903
ACTB,SPP1,0.5787722113270339
EPAS1,PDK1,0.5786830688773995
S100A4,VEGFA,0.5785642122778868
MCM2,PDK1,0.5785047839781303
DDIT4,PGK1,0.5784453556783741
LDHB,PTGER3,0.5783562132287394
CA12,PFKP,0.5771973613834909
GAPDH,VEGFA,0.5769893623343436
ALB,HK2,0.5765139359362929
HK2,SLC22A8,0.5763653651869021
MMP9,PTGER3,0.5763356510370239
CXCR4,MKI67,0.5763356510370239
DDIT4,LRP2,0.5763059368871456
CA9,PDK1,0.5762465085873893
MCM2,PAX2,0.5761573661377548
PAX8,PDK1,0.5758899387888512
CALB1,PAX2,0.575830510489095
PFKP,S100A4,0.5749688001426279
PCNA,SPP1,0.5746122303440899
AGXT,S100A4,0.5746122303440899
CUBN,SLC12A1,0.57428537469543
ANGPTL4,SLC22A8,0.5742259463956736
CUBN,ENO1,0.5740773756462827
LDHB,SLC12A1,0.5740476614964045
LRP2,SLC12A3,0.5739882331966483
ALB,EPAS1,0.5738693765971357
PFKP,PKM,0.5738396624472574
AGXT,ENO2,0.573780234147501
KRT7,NDUFA4L2,0.5737505199976229
CUBN,SLC12A3,0.5736613775479883
MCM2,SLC22A8,0.5734830926487193
DDIT4,PDK1,0.573423664348963
LDHA,VEGFA,0.5733642360492066
DDIT4,PAX2,0.5732750935995721
LDHA,SLC22A8,0.5730968087003032
KRT7,MCM2,0.5729482379509123
LRP2,SLC2A1,0.5728590955012778
MMP9,SLC2A1,0.5725916681523742
ENO1,PAX2,0.572561954002496
PAX8,PFKP,0.5723836691032269
CA9,MMP9,0.5723539549533487
MMP9,SPP1,0.572027099304689
MCM2,PCNA,0.5719973851548107
ENO1,MMP9,0.5718785285552981
CDK1,LDHB,0.5718488144054198
MKI67,RPL13A,0.5712842455577346
LRP2,SLC12A1,0.5711059606584655
SLC12A3,VEGFA,0.5711059606584655
AGXT,CXCR4,0.5710465323587093
ACTB,CCNB1,0.5707791050098057
CA9,LDHB,0.5706305342604148
ACTB,MCM2,0.5703928210613894
PDK1,S100A4,0.5702739644618768
