sample_id,label,TOP2A,MKI67,CDK1,CCNB1,PCNA,EPCAM,SOX9,CD44,VIM,ZEB1,CDH1,CDH2,SNAI1,EPAS1,HIF1A,VEGFA,GPC3,TERT,AFP
TCGA-ED-A66Y-01A,1,5.764752190343657,3.3859555582103464,4.6172455799178,5.752432833533953,8.241919293240525,0.1575611760911883,7.161027047535739,1.1048733767260186,5.234746551744323,3.7642293656052375,6.9475375894549485,6.0680903487630555,1.4254593047653552,6.77250593072702,6.488868441371632,5.695414837828339,10.94401557849606,0.3067288670597715,11.245072282503989
TCGA-FV-A3R3-01A,0,2.1213801742781726,1.1552311162992788,1.396543133548461,2.268973282348467,5.274067797735883,5.125704821546816,2.41589384525681,3.458736334422036,6.7715673795318,3.7688830023416973,8.04155895339785,3.4328124586309112,3.972315850045705,7.2280153666438975,5.527489517182654,4.191444210935411,8.538576573942773,0.037030730944967026,0.15354595185667388
TCGA-G3-A5SJ-01A,0,4.788069667328565,2.225244076352296,2.8930515027368506,4.793448546536048,7.245155256767808,2.120517834120466,7.654047374792608,4.616798766748785,6.477180263290958,2.9871753155819865,7.005460622779228,5.304569449333731,2.406482248392574,5.62245015334491,7.063727267395348,5.963189718555756,3.1287388121873394,0.4620523187964329,0.9888482586689642
TCGA-HP-A5MZ-01A,0,2.5444111970621552,1.6864332932263346,2.524314470222152,3.674822183961822,6.310881756730413,0.6797840890655559,3.9915989389178543,4.306947546677744,6.954461555735488,3.2141248053528475,5.404647713095403,3.7672204413985915,3.1783481453077305,6.255189122689571,5.453576839775504,3.691589995690318,9.312618890706075,0.203389117367087,2.1342538025991193
TCGA-G3-A25Z-01A,0,3.220840689962363,1.3134200096906226,2.2110433528691242,3.37855323885661,6.1280438281605205,0.3669236489785181,2.9876846775667607,3.3820723469146228,5.907580519742707,2.0310422433585718,5.696110693390117,4.38988339902723,1.9930946314603866,6.233930230171928,3.7917828211112994,3.6360561302045005,7.361169158693144,0.1276332797258737,0.7093788712538517
TCGA-BC-A10X-01A,1,1.9172407837780858,1.3524195592151618,1.658828424343654,2.329094885656815,5.973937245527122,3.602338099765498,2.730944221088785,3.1580946185231817,5.688169166184776,3.1385196100857997,6.878021475930047,5.083251669378815,4.192075777353723,7.04992367651921,5.202684137123608,4.722930453794153,4.225182367338176,0.00992040959306388,1.8878371710867412
TCGA-FV-A3I0-01A,1,2.6775984431207394,2.123169543155821,2.3572986310457433,3.705579861939098,6.707940234758693,10.348621497066292,7.222821945601197,5.180684951789364,8.190567948155412,2.6334777106550957,8.540325681046351,1.712155531728054,3.6488105441032066,4.54246855643157,8.032860681415382,6.481897894764385,4.447506464901416,0.17823658460480532,0.03153635326805325
TCGA-DD-A1ED-01A,0,0.876251711862823,0.33559758764193715,0.6132487438002662,1.038014690186716,5.764924654405395,1.4138648330979475,5.074753742132002,4.550672917506116,5.528365026235321,3.106214296090968,4.001216760691989,4.395371327726716,3.561265029906083,6.542254953851491,5.6931272843396,3.799159853569493,4.056756918792739,0.009777121611529915,1.9551267812613662
TCGA-EP-A2KB-01A,0,4.89474017089988,3.5062210862369314,4.4812795642455026,5.477661139244671,6.52412167586796,0.16027483140859297,2.3936084005591134,1.287531396532028,5.3549492884522225,2.7973243172699807,6.165467809850984,5.368691533659849,1.1661369657370906,6.07769590672712,3.897104863967292,4.007016050562392,10.879173049336382,1.3739543948658028,10.906407136632962
TCGA-DD-A1EF-01A,0,4.344288805399671,3.494415610397496,3.390406304085832,4.710051489780419,6.660644870044085,6.601035327828869,6.134611137640248,3.3101365000884644,5.9384551786178115,3.4006335596082065,7.876764332205296,2.958638549607649,1.5844815222066533,6.532846806183944,5.324004081394429,5.249619788929323,11.398793864793282,0.0714881055841824,13.660096010476002
